Category,name,availableQuantity,weightInGms,outOfStock,quantity,location
Fruits & Vegetables,Onion,3,1000,FALSE,1,Aisle 1-a
Fruits & Vegetables,Tomato Hybrid,3,1000,FALSE,1,Aisle 1-b
Fruits & Vegetables,Tender Coconut,3,58,FALSE,1,Aisle 1-c
Fruits & Vegetables,Coriander Leaves,3,100,FALSE,100,Aisle 1-d
Fruits & Vegetables,Ladies Finger ,3,250,FALSE,250,Aisle 1-e
Fruits & Vegetables,Potato,3,1000,FALSE,1,Aisle 1-f
Fruits & Vegetables,Lemon,3,200,FALSE,200,Aisle 1-g
Fruits & Vegetables,Watermelon ,3,58,FALSE,1,Aisle 1-h
Fruits & Vegetables,Capsicum Green ,3,250,FALSE,250,Aisle 2-a
Fruits & Vegetables,Chilli Green ,3,100,FALSE,100,Aisle 2-b
Fruits & Vegetables,Banana Robusta,3,348,FALSE,6,Aisle 2-c
Fruits & Vegetables,Garlic Indian ,3,100,FALSE,100,Aisle 2-d
Fruits & Vegetables,Cauliflower,3,58,FALSE,1,Aisle 2-e
Fruits & Vegetables,Ginger,3,200,FALSE,200,Aisle 2-f
Fruits & Vegetables,Spinach,3,250,FALSE,250,Aisle 2-g
Fruits & Vegetables,Muskmelon,3,58,FALSE,1,Aisle 2-h
Fruits & Vegetables,Cabbage ,3,58,FALSE,1,Aisle 3-a
Fruits & Vegetables,Methi,3,250,FALSE,250,Aisle 3-b
Fruits & Vegetables,Broccoli,3,500,FALSE,500,Aisle 3-c
Fruits & Vegetables,Sapota,3,348,FALSE,6,Aisle 3-d
Fruits & Vegetables,Onion,3,3000,FALSE,3,Aisle 3-e
Fruits & Vegetables,Potato,3,3000,FALSE,3,Aisle 3-f
Fruits & Vegetables,Orange Nagpur,3,232,FALSE,4,Aisle 3-g
Fruits & Vegetables,Mint Leaves ,3,100,FALSE,100,Aisle 3-h
Fruits & Vegetables,Beans French,3,250,FALSE,250,Aisle 4-a
Fruits & Vegetables,Bottle Gourd ,3,58,FALSE,1,Aisle 4-b
Fruits & Vegetables,Banana Elaichi ,3,348,FALSE,6,Aisle 4-c
Fruits & Vegetables,Coconut Big,3,58,FALSE,1,Aisle 4-d
Fruits & Vegetables,Curry Leaves,3,50,FALSE,50,Aisle 4-e
Fruits & Vegetables,Brinjal Bharta,3,58,FALSE,1,Aisle 4-f
Fruits & Vegetables,Lettuce Iceberg,3,250,FALSE,250,Aisle 4-g
Fruits & Vegetables,Papaya,3,58,FALSE,1,Aisle 4-h
Fruits & Vegetables,Apple Shimla,3,232,FALSE,4,Aisle 5-a
Fruits & Vegetables,Bitter Gourd,3,250,FALSE,250,Aisle 5-b
Fruits & Vegetables,Brinjal Small,3,250,FALSE,250,Aisle 5-c
Fruits & Vegetables,Sweet Corn,3,116,FALSE,2,Aisle 5-d
Fruits & Vegetables,Spring Onion ,3,250,FALSE,250,Aisle 5-e
Fruits & Vegetables,Bell Peppers Red & Yellow ,3,116,FALSE,2,Aisle 5-f
Fruits & Vegetables,Pomegranate ,3,116,FALSE,2,Aisle 5-g
Fruits & Vegetables,Sweet Lime,3,116,FALSE,2,Aisle 5-h
Fruits & Vegetables,Baby Potato,3,500,FALSE,500,Aisle 6-a
Fruits & Vegetables,Coccinia,3,250,FALSE,250,Aisle 6-b
Fruits & Vegetables,Guava,3,232,FALSE,4,Aisle 6-c
Fruits & Vegetables,Apple Washington,3,232,FALSE,4,Aisle 6-d
Fruits & Vegetables,Amla,3,250,FALSE,250,Aisle 6-e
Fruits & Vegetables,Beans Cluster,3,250,FALSE,250,Aisle 6-f
Fruits & Vegetables,Apple Royal Gala,3,232,FALSE,4,Aisle 6-g
Fruits & Vegetables,Chilli Bhaji,3,250,FALSE,250,Aisle 6-h
Fruits & Vegetables,Lettuce Green,3,100,FALSE,100,Aisle 7-a
Fruits & Vegetables,Baby Corn Peeled,3,250,FALSE,250,Aisle 7-b
Fruits & Vegetables,Mixed Sprouts,3,200,FALSE,200,Aisle 7-c
Fruits & Vegetables,Zucchini Green,3,250,FALSE,250,Aisle 7-d
Fruits & Vegetables,Beans Broad,3,250,FALSE,250,Aisle 7-e
Fruits & Vegetables,Raw Banana,6,500,FALSE,500,Aisle 7-f
Fruits & Vegetables,Colocasia ,6,500,FALSE,500,Aisle 7-g
Fruits & Vegetables,Tomato Cherry ,3,200,FALSE,200,Aisle 7-h
Fruits & Vegetables,Sweet Potato ,3,500,FALSE,500,Aisle 8-a
Fruits & Vegetables,Pineapple Slice,3,200,FALSE,200,Aisle 8-b
Fruits & Vegetables,Orange,3,116,FALSE,2,Aisle 8-c
Fruits & Vegetables,Dragon Fruit Imported,3,58,FALSE,1,Aisle 8-d
Fruits & Vegetables,Zucchini Yellow,3,250,FALSE,500,Aisle 8-e
Fruits & Vegetables,Apple Kinnaur,6,232,FALSE,4,Aisle 8-f
Fruits & Vegetables,Pineapple,3,58,FALSE,1,Aisle 8-g
Fruits & Vegetables,Basil,3,100,FALSE,100,Aisle 8-h
Fruits & Vegetables,Parsley,3,100,FALSE,100,Aisle 9-a
Fruits & Vegetables,Ridge Gourd,3,500,FALSE,500,Aisle 9-b
Fruits & Vegetables,Papaya Cut,3,200,FALSE,200,Aisle 9-c
Fruits & Vegetables,Pomegranate Peeled,2,100,FALSE,100,Aisle 9-d
Fruits & Vegetables,Pear Green Imported,3,116,FALSE,2,Aisle 9-e
Fruits & Vegetables,Guava Thai,3,116,FALSE,2,Aisle 9-f
Fruits & Vegetables,Lettuce Red,3,100,FALSE,100,Aisle 9-g
Fruits & Vegetables,Mango Raw,3,500,FALSE,500,Aisle 9-h
Fruits & Vegetables,Biryani /Pulav Mix,3,250,FALSE,250,Aisle 10-a
Fruits & Vegetables,Banana Nendran,6,500,FALSE,500,Aisle 10-b
Fruits & Vegetables,Pumpkin Cut,3,200,FALSE,200,Aisle 10-c
Fruits & Vegetables,Banana Red,6,500,FALSE,500,Aisle 10-d
Fruits & Vegetables,Radish White,6,500,FALSE,500,Aisle 10-e
Fruits & Vegetables,Avocado Indian Premium,3,58,FALSE,1,Aisle 10-f
